Column3,Column4,Column5
5592,missing another window,iPhone
3980,falling to my death,iPad
4107,missing another window,iPad
2273,hitting a wall and tumbling to my death,iPod touch
768,hitting a wall and tumbling to my death,iPad
4294,missing another window,iPhone
4984,hitting a wall and tumbling to my death,iPad
3028,missing another window,iPod touch
1982,hitting a wall and tumbling to my death,iPhone
2872,hitting a wall and tumbling to my death,iPad
11300,hitting a wall and tumbling to my death,iPhone
9436,missing another window,iPad
955,missing another window,iPhone
433,colliding with some enormous obstacle,iPhone
1491,hitting a wall and tumbling to my death,iPhone
3142,missing another window,iPhone
2859,hitting a wall and tumbling to my death,iPhone
5392,hitting a wall and tumbling to my death,iPad
4398,turning into a fine mist,iPhone
7452,colliding with some enormous obstacle,iPhone
4136,hitting a wall and tumbling to my death,iPad
1001,hitting a wall and tumbling to my death,iPad
2476,hitting a wall and tumbling to my death,iPhone
5022,hitting a wall and tumbling to my death,iPhone
2900,hitting a wall and tumbling to my death,iPod touch
3959,turning into a fine mist,iPhone
5630,missing another window,iPad
2865,hitting a wall and tumbling to my death,iPad
2704,hitting a wall and tumbling to my death,iPhone
3809,hitting a wall and tumbling to my death,iPhone
3064,hitting a wall and tumbling to my death,iPad
6222,hitting a wall and tumbling to my death,iPhone
3401,hitting a wall and tumbling to my death,iPhone
2564,hitting a wall and tumbling to my death,iPhone
13275,somehow hitting the edge of a crane,iPhone
2427,missing another window,iPhone
4145,hitting a wall and tumbling to my death,iPad
5257,hitting a wall and tumbling to my death,iPhone
4953,hitting a wall and tumbling to my death,iPad
2553,hitting a wall and tumbling to my death,iPad
1889,missing another window,iPad
3616,hitting a wall and tumbling to my death,iPod touch
3142,hitting a wall and tumbling to my death,iPad
10782,hitting a wall and tumbling to my death,iPhone
2657,hitting a wall and tumbling to my death,iPod touch
1673,not quite reaching a billboard,iPhone
3212,hitting a wall and tumbling to my death,iPhone
3622,hitting a wall and tumbling to my death,iPod touch
5301,falling to my death,iPhone
3024,hitting a wall and tumbling to my death,iPad
744,hitting a wall and tumbling to my death,iPhone
2124,hitting a wall and tumbling to my death,iPhone
896,hitting a wall and tumbling to my death,iPhone
4857,turning into a fine mist,iPhone
7038,hitting a wall and tumbling to my death,iPhone
7640,missing another window,iPad
619,hitting a wall and tumbling to my death,iPhone
3460,landing where a building used to be,iPhone
4234,hitting a wall and tumbling to my death,iPhone
3651,missing another window,iPad
2548,hitting a wall and tumbling to my death,iPhone
1139,hitting a wall and tumbling to my death,iPhone
1990,colliding with some enormous obstacle,iPhone
1529,turning into a fine mist,iPod touch
12708,hitting a wall and tumbling to my death,iPhone
5772,not quite reaching a billboard,iPad
4177,missing a crane completely,iPhone
3136,hitting a wall and tumbling to my death,iPhone
1438,hitting a wall and tumbling to my death,iPhone
4371,missing another window,iPhone
4563,hitting a wall and tumbling to my death,iPod touch
3556,hitting a wall and tumbling to my death,iPad
4336,hitting a wall and tumbling to my death,iPad
1302,hitting a wall and tumbling to my death,iPad
5139,missing another window,iPhone
3054,falling to my death,iPhone
2686,missing another window,iPhone
2548,hitting a wall and tumbling to my death,iPad
633,missing another window,iPhone
5032,missing another window,iPhone
508,missing a crane completely,iPhone
8552,missing another window,iPhone
2345,colliding with some enormous obstacle,iPhone
2176,hitting a wall and tumbling to my death,iPod touch
,,
3971,knocking a building down,iPad
2545,hitting a wall and tumbling to my death,iPhone
2111,turning into a fine mist,iPad
3187,hitting a wall and tumbling to my death,iPhone
2232,knocking a building down,iPad
1974,hitting a wall and tumbling to my death,iPhone
4566,falling to my death,iPod touch
2713,missing a crane completely,iPod touch
5417,turning into a fine mist,iPhone
2934,missing another window,iPhone
5612,missing another window,iPhone
9734,hitting a wall and tumbling to my death,iPad
4626,not quite reaching a billboard,iPhone
5411,hitting a wall and tumbling to my death,iPad
688,falling to my death,iPhone
104,just barely stumbling out of the first hallway,iPhone
4875,missing another window,iPhone
8792,hitting a wall and tumbling to my death,iPhone
4787,hitting a wall and tumbling to my death,iPad
7312,hitting a wall and tumbling to my death,iPhone
179,hitting a wall and tumbling to my death,iPhone
952,hitting a wall and tumbling to my death,iPhone
1150,hitting a wall and tumbling to my death,iPhone
6292,hitting a wall and tumbling to my death,iPhone
1046,completely  missing the entire hallway,iPhone
2798,missing another window,iPhone
4169,hitting a wall and tumbling to my death,iPhone
1761,hitting a wall and tumbling to my death,iPhone
3140,missing another window,iPhone
432,hitting a wall and tumbling to my death,iPhone
4323,hitting a wall and tumbling to my death,iPhone
2612,hitting a wall and tumbling to my death,iPhone
3334,hitting a wall and tumbling to my death,iPhone
5849,somehow hitting the edge of a billboard,iPhone
1006,hitting a wall and tumbling to my death,iPhone
3603,hitting a wall and tumbling to my death,iPad
102,just barely stumbling out of the first hallway,iPod touch
2924,hitting a wall and tumbling to my death,iPhone
2100,hitting a wall and tumbling to my death,iPhone
5001,missing another window,iPhone
566,somehow hitting the edge of a billboard,iPhone
3249,hitting a wall and tumbling to my death,iPad
11400,hitting a wall and tumbling to my death,iPhone
240,hitting a wall and tumbling to my death,iPhone
4288,landing where a building used to be,iPad
2897,hitting a wall and tumbling to my death,iPhone
3244,hitting a wall and tumbling to my death,iPhone
5118,hitting a wall and tumbling to my death,iPhone
4193,hitting a wall and tumbling to my death,iPad
7395,missing another window,iPad
4040,hitting a wall and tumbling to my death,iPad
2546,falling to my death,iPhone
2363,hitting a wall and tumbling to my death,iPhone
3388,hitting a wall and tumbling to my death,iPhone
1824,somehow hitting the edge of a billboard,iPhone
11022,hitting a wall and tumbling to my death,iPad
2728,missing another window,iPhone
2628,missing another window,iPad
579,hitting a wall and tumbling to my death,iPhone
2425,missing another window,iPhone
3006,hitting a wall and tumbling to my death,iPhone
1068,missing another window,iPhone
3492,hitting a wall and tumbling to my death,iPhone
1187,hitting a wall and tumbling to my death,iPhone
6313,missing another window,iPhone
2465,hitting a wall and tumbling to my death,iPad
4294,hitting a wall and tumbling to my death,iPhone
1848,hitting a wall and tumbling to my death,iPhone
2401,hitting a wall and tumbling to my death,iPhone
3109,turning into a fine mist,iPhone
5348,somehow hitting the edge of a billboard,iPhone
353,hitting a wall and tumbling to my death,iPhone
3660,hitting a wall and tumbling to my death,iPhone
6505,missing another window,iPhone
4097,missing another window,iPhone
7734,hitting a wall and tumbling to my death,iPad
1652,hitting a wall and tumbling to my death,iPhone
5188,turning into a fine mist,iPhone
104,just barely stumbling out of the first hallway,iPod touch
2032,hitting a wall and tumbling to my death,iPod touch
3054,missing another window,iPad
3240,hitting a wall and tumbling to my death,iPad
5492,knocking a building down,iPhone
916,missing another window,iPod touch
2424,hitting a wall and tumbling to my death,iPod touch
3876,not quite reaching a billboard,iPhone
1955,turning into a fine mist,iPad
2680,landing where a building used to be,iPhone
3392,hitting a wall and tumbling to my death,iPhone
3716,hitting a wall and tumbling to my death,iPhone
22460,hitting a wall and tumbling to my death,iPhone
1913,hitting a wall and tumbling to my death,iPhone
702,turning into a fine mist,iPhone
1510,hitting a wall and tumbling to my death,iPhone
645,colliding with some enormous obstacle,iPhone
568,hitting a wall and tumbling to my death,iPhone
2486,hitting a wall and tumbling to my death,iPhone
2547,missing another window,iPhone
3177,hitting a wall and tumbling to my death,iPhone
1670,hitting a wall and tumbling to my death,iPhone
5897,hitting a wall and tumbling to my death,iPad
8710,hitting a wall and tumbling to my death,iPhone
4362,colliding with some enormous obstacle,iPhone
5918,hitting a wall and tumbling to my death,iPod touch
2068,hitting a wall and tumbling to my death,iPhone
3976,hitting a wall and tumbling to my death,iPhone
4926,hitting a wall and tumbling to my death,iPhone
8590,hitting a wall and tumbling to my death,iPhone
2052,hitting a wall and tumbling to my death,iPhone
4620,missing another window,iPhone
2936,hitting a wall and tumbling to my death,iPhone
2992,hitting a wall and tumbling to my death,iPhone
2873,hitting a wall and tumbling to my death,iPhone
2024,hitting a wall and tumbling to my death,iPod touch
4660,turning into a fine mist,iPhone
3339,hitting a wall and tumbling to my death,iPhone
2400,missing another window,iPhone
12672,missing another window,iPad
2555,hitting a wall and tumbling to my death,iPad
4692,turning into a fine mist,iPhone
4469,falling to my death,iPhone
619,missing another window,iPhone
24771,hitting a wall and tumbling to my death,iPod touch
4962,turning into a fine mist,iPhone
2345,missing another window,iPad
2230,hitting a wall and tumbling to my death,iPhone
2414,hitting a wall and tumbling to my death,iPhone
2148,hitting a wall and tumbling to my death,iPhone
6768,hitting a wall and tumbling to my death,iPad
3097,knocking a building down,iPad
1952,somehow hitting the edge of a billboard,iPhone
2790,colliding with some enormous obstacle,iPhone
2266,falling to my death,iPad
1440,hitting a wall and tumbling to my death,iPhone
104,just barely stumbling out of the first hallway,iPad
1494,hitting a wall and tumbling to my death,iPod touch
5559,turning into a fine mist,iPod touch
6225,missing another window,iPad
2462,hitting a wall and tumbling to my death,iPhone
4204,hitting a wall and tumbling to my death,iPhone
104,just barely stumbling out of the first hallway,iPhone
2729,hitting a wall and tumbling to my death,iPhone
2811,hitting a wall and tumbling to my death,iPad
409,missing another window,iPad
3835,hitting a wall and tumbling to my death,iPhone
7308,hitting a wall and tumbling to my death,iPhone
11000,missing another window,iPad
6897,missing another window,iPhone
3531,hitting a wall and tumbling to my death,iPhone
2382,hitting a wall and tumbling to my death,iPhone
2486,hitting a wall and tumbling to my death,iPod touch
919,turning into a fine mist,iPhone
6491,hitting a wall and tumbling to my death,iPod touch
102,hitting a wall and tumbling to my death,iPhone
2396,hitting a wall and tumbling to my death,iPhone
6088,hitting a wall and tumbling to my death,iPad
3859,hitting a wall and tumbling to my death,iPad
784,falling to my death,iPod touch
2092,missing another window,iPhone
7577,missing another window,iPhone
4481,hitting a wall and tumbling to my death,iPod touch
3142,hitting a wall and tumbling to my death,iPhone
1334,falling to my death,iPhone
3459,not quite reaching a billboard,iPhone
4310,hitting a wall and tumbling to my death,iPhone
2064,colliding with some enormous obstacle,iPad
2286,missing another window,iPhone
1461,turning into a fine mist,iPhone
2110,hitting a wall and tumbling to my death,iPhone
28024,missing another window,iPod touch
104,just barely stumbling out of the first hallway,iPad
1869,missing a crane completely,iPod touch
1657,hitting a wall and tumbling to my death,iPad
5041,somehow hitting the edge of a billboard,iPhone
3323,hitting a wall and tumbling to my death,iPhone
1417,hitting a wall and tumbling to my death,iPad
5358,hitting a wall and tumbling to my death,iPhone
4142,hitting a wall and tumbling to my death,iPad
3603,hitting a wall and tumbling to my death,iPhone
4115,hitting a wall and tumbling to my death,iPhone
3323,hitting a wall and tumbling to my death,iPhone
1417,hitting a wall and tumbling to my death,iPad
5358,hitting a wall and tumbling to my death,iPhone
4142,hitting a wall and tumbling to my death,iPad
3323,hitting a wall and tumbling to my death,iPhone
1417,hitting a wall and tumbling to my death,iPad
5358,hitting a wall and tumbling to my death,iPhone
4142,hitting a wall and tumbling to my death,iPad
3603,hitting a wall and tumbling to my death,iPhone
4115,hitting a wall and tumbling to my death,iPhone
5115,missing another window,iPad
11316,missing another window,iPhone
336,knocking a building down,iPad
3246,hitting a wall and tumbling to my death,iPhone
2016,turning into a fine mist,iPhone
8216,hitting a wall and tumbling to my death,iPad
4144,hitting a wall and tumbling to my death,iPhone
3383,colliding with some enormous obstacle,iPhone
2488,hitting a wall and tumbling to my death,iPod touch
3403,hitting a wall and tumbling to my death,iPod touch
2398,hitting a wall and tumbling to my death,iPod touch
5313,hitting a wall and tumbling to my death,iPhone
1502,hitting a wall and tumbling to my death,iPhone
3259,missing another window,iPod touch
3075,hitting a wall and tumbling to my death,iPhone
1873,hitting a wall and tumbling to my death,iPod touch
2510,missing another window,iPhone
7004,hitting a wall and tumbling to my death,iPhone
7910,missing another window,iPhone
2176,hitting a wall and tumbling to my death,iPad
937,hitting a wall and tumbling to my death,iPod touch
10640,hitting a wall and tumbling to my death,iPhone
1018,turning into a fine mist,iPad
491,hitting a wall and tumbling to my death,iPod touch
6046,hitting a wall and tumbling to my death,iPhone
2995,hitting a wall and tumbling to my death,iPod touch
7814,hitting a wall and tumbling to my death,iPad
5024,hitting a wall and tumbling to my death,iPhone
12521,missing another window,iPhone
3941,riding a falling building all the way down,iPhone
5030,missing another window,iPad
3278,hitting a wall and tumbling to my death,iPad
4942,somehow hitting the edge of a crane,iPad
3060,hitting a wall and tumbling to my death,iPhone
5648,missing another window,iPad
2206,hitting a wall and tumbling to my death,iPad
3060,hitting a wall and tumbling to my death,iPhone
2172,hitting a wall and tumbling to my death,iPhone
6081,hitting a wall and tumbling to my death,iPad
4028,hitting a wall and tumbling to my death,iPhone
5819,missing another window,iPad
5793,missing another window,iPad
4763,hitting a wall and tumbling to my death,iPhone
6348,hitting a wall and tumbling to my death,iPhone
5430,landing where a building used to be,iPhone
937,hitting a wall and tumbling to my death,iPod touch
,,
4398,missing another window,iPhone
2049,hitting a wall and tumbling to my death,iPad
4966,hitting a wall and tumbling to my death,iPhone
3873,missing another window,iPod touch
6556,missing another window,iPhone
1543,falling to my death,iPhone
4169,hitting a wall and tumbling to my death,iPhone
104,just barely stumbling out of the first hallway,iPod touch
